"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",252208,0.252275862206934,252206.5,0.252274314005802
435590,"Phocaeicola vulgatus",185215,0.185264836240949,185009.8,0.185059531998935
853,"Faecalibacterium prausnitzii",121615,0.121647723237551,121611.8,0.121644517813489
820,"Bacteroides uniformis",84754,0.0847768049605344,85732.3,0.0857553769398247
39491,"Agathobacter rectalis",72330,0.0723494620052794,72392.1,0.0724115941074779
357276,"Phocaeicola dorei",62989,0.0630059486001734,62983.4,0.0630003654921139
411903,"Collinsella aerofaciens",45663,0.0456752866521094,45630.8,0.0456430454768964
445970,"Alistipes putredinis",43912,0.0439238155063712,44113.7,0.0441255662569361
367928,"Bifidobacterium adolescentis",42500,0.04251143557617,42500,0.0425114060528581
40518,"Ruminococcus bromii",39973,0.0399837556302645,39971.7,0.03998243595023
2989541,"Bacteroides rhinocerotis",39717,0.0397276867477351,30179.8,0.0301879395269405
2763025,"Bacteroides parvus",4642,0.00464324903399014,13138.9,0.0131424416694631
310298,"Phocaeicola coprocola",1350,0.00135036324771364,808,0.000808213845682662
2763064,"Roseburia zhanii",715,0.000715192386752036,541.7,0.000541893606283103
116085,"Coprococcus catus",492,0.000492132383611191,408.8,0.000408959677931435
1002367,"Leyella stercorea",258,0.000258069420674161,404.7,0.000404822615551264
2981789,"Dorea amylophila",230,0.000230061886647508,177.5,0.000177580228943868
2763062,"Roseburia rectibacter",211,0.000211056774272279,132.2,0.000132194749151845
515620,"Lachnospira eligens",164,0.000164044127870397,100.4,0.000100414421410098
2981787,"Dorea acetigenes",101,0.000101027176310428,62.5,6.24933359266924e-05
449673,"Bacteroides stercoris",88,8.80236783694814e-05,176.4,0.000176488106155142
2981771,"Laedolimicola ammoniilytica",83,8.3022333007579e-05,60.7,6.07226893019736e-05
2763057,"Parabacteroides hominis",52,5.20139917637845e-05,55,5.4979605345772e-05
328812,"Parabacteroides goldsteinii",46,4.60123773295016e-05,47.4,4.73907632979672e-05
471870,"Bacteroides intestinalis",38,3.80102247504579e-05,58,5.80340409884998e-05
1602169,"Prevotella pectinovora",38,3.80102247504579e-05,37.3,3.73107228248902e-05
2981793,"Phocaeicola fibrisolvens",32,3.2008610316175e-05,41.3,4.13063248601704e-05
2763032,"Butyricimonas hominis",25,2.50067268095118e-05,41.9,4.19041812236561e-05
2981728,"Huintestinicola butyrica",24,2.40064577371313e-05,25.1,2.50652581645863e-05
3133156,"Faecalibacterium tardum",21,2.10056505199899e-05,18.6,1.8612058912037e-05
246787,"Bacteroides cellulosilyticus",16,1.60043051580875e-05,11.5,1.15027358491037e-05
2981782,"Blautia ammoniilytica",16,1.60043051580875e-05,17.4,1.74476268801378e-05
1936995,"Parabacteroides bouchesdurhonensis",16,1.60043051580875e-05,26.5,2.65106332144631e-05
291645,"Bacteroides nordii",15,1.50040360857071e-05,280.4,0.000280480221462541
585394,"Roseburia hominis",12,1.20032288685656e-05,36.7,3.67472320582135e-05
1472417,"Butyricimonas paravirosa",12,1.20032288685656e-05,10.6,1.06196114699534e-05
411467,"Pseudoflavonifractor capillosus",11,1.10029597961852e-05,10,1.00068940107981e-05
371601,"Bacteroides xylanisolvens",11,1.10029597961852e-05,9.3,9.34048288398386e-06
871324,"Bacteroides stercorirosoris",11,1.10029597961852e-05,10.3,1.03228549224649e-05
2759752,"Limosilactobacillus albertensis",6,6.00161443428282e-06,5.5,5.5067677500637e-06
2126740,"Clostridium fessum",6,6.00161443428282e-06,53.1,5.31360096474156e-05
3032125,"Neopoerus faecalis",6,6.00161443428282e-06,5.9,5.93617576991761e-06
2015901,"Massilicoli timonensis",6,6.00161443428282e-06,5.8,5.80700863196518e-06
2763040,"Dorea hominis",5,5.00134536190235e-06,46.9,4.6920677620872e-05
2981778,"Agathobaculum ammoniilyticum",5,5.00134536190235e-06,3.1,3.07995191661681e-06
679200,"Johnsonella ignava",4,4.00107628952188e-06,3.6,3.64369320115376e-06
868129,"Prevotella bivia",4,4.00107628952188e-06,6.7,6.6825248591538e-06
1423790,"Lactobacillus pasteurii",4,4.00107628952188e-06,4.3,4.25720431061394e-06
2763669,"Qiania dongpingensis",4,4.00107628952188e-06,4.5,4.47364938423771e-06
2838470,"Candidatus Bacteroides intestinigallinarum",4,4.00107628952188e-06,6.5,6.47370376995268e-06
1034345,"Senegalimassilia anaerobia",3,3.00080721714141e-06,33.1,3.31269895889072e-05
742726,"Barnesiella intestinihominis",3,3.00080721714141e-06,6.5,6.51669097656723e-06
518635,"Bifidobacterium angulatum",3,3.00080721714141e-06,2.7,2.71595676131039e-06
2093856,"Butyricimonas faecalis",3,3.00080721714141e-06,2.3,2.2562052561319e-06
2739389,"Phocaeicola faecicola",3,3.00080721714141e-06,5.1,5.13304859442238e-06
2763670,"Wujia chipingensis",3,3.00080721714141e-06,76.8,7.6837720642427e-05
674529,"Bacteroides faecis",3,3.00080721714141e-06,14.4,1.4391510745097e-05
45851,"Eshraghiella crossota",3,3.00080721714141e-06,3.3,3.30974763888569e-06
214856,"Alistipes finegoldii",3,3.00080721714141e-06,5.7,5.70173258386994e-06
745368,"Gemmiger formicilis",3,3.00080721714141e-06,3.8,3.7975522379243e-06
1871019,"Enorma phocaeensis",3,3.00080721714141e-06,3.1,3.13714416288869e-06
555970,"Bifidobacterium animalis",2,2.00053814476094e-06,2.3,2.3007791499019e-06
679191,"Prevotella amnii",2,2.00053814476094e-06,1.3,1.30677033301419e-06
762966,"Parasutterella excrementihominis",2,2.00053814476094e-06,2.9,2.91733415552195e-06
688246,"Hallella multisaccharivorax",2,2.00053814476094e-06,0.9,8.9029337778e-07
762968,"Paraprevotella clara",2,2.00053814476094e-06,12.9,1.29381448334991e-05
2834435,"Bifidobacterium miconis",2,2.00053814476094e-06,1.6,1.55962422152281e-06
717959,"Alistipes shahii",2,2.00053814476094e-06,1.9,1.90860166435951e-06
2994035,"Sellimonas catena",2,2.00053814476094e-06,56.8,5.68206017866793e-05
NA,"unknown genome; accession ID isNZ_AP031406.1",2,2.00053814476094e-06,2.1,2.11792924339466e-06
1841868,"Provencibacterium massiliense",2,2.00053814476094e-06,3.5,3.54292136062864e-06
46503,"Parabacteroides merdae",2,2.00053814476094e-06,3.7,3.71533949234282e-06
556268,"Oxalobacter paraformigenes",1,1.00026907238047e-06,2.1,2.05408950001013e-06
796942,"Stomatobaculum longum",1,1.00026907238047e-06,1.4,1.41783656783404e-06
908937,"Prevotella dentalis",1,1.00026907238047e-06,0.9,8.55247218545007e-07
1118060,"Enorma massiliensis",1,1.00026907238047e-06,2.1,2.0872213871572e-06
78346,"Bifidobacterium ruminantium",1,1.00026907238047e-06,1.3,1.2851207226137e-06
1796613,"Bacteroides caecimuris",1,1.00026907238047e-06,2.8,2.81850449487309e-06
2763065,"Ruminococcus hominis",1,1.00026907238047e-06,11.2,1.11609827463218e-05
2763061,"Roseburia lenta",1,1.00026907238047e-06,2.6,2.60923005987592e-06
2763026,"Blautia celeris",1,1.00026907238047e-06,3.2,3.19455588583246e-06
2763657,"Congzhengia minquanensis",1,1.00026907238047e-06,1.1,1.10939125418048e-06
2834436,"Bifidobacterium pluvialisilvae",1,1.00026907238047e-06,1,1.03450454140037e-06
214851,"Subdoligranulum variabile",1,1.00026907238047e-06,1.2,1.22138458025702e-06
2981724,"Alitiscatomonas aceti",1,1.00026907238047e-06,1.3,1.33723803210738e-06
2981786,"Coprococcus aceti",1,1.00026907238047e-06,145.2,0.000145191971962511
2981721,"Brotomerdimonas butyrica",1,1.00026907238047e-06,1.2,1.23696215097828e-06
3133155,"Faecalibacterium intestinale",1,1.00026907238047e-06,1,1.00026936183986e-06
