taxon	nb	tax_abundance	sample
165179	1	50	healthy_stool_10_1
853	1	9.117496198385302	healthy_stool_10_1
821	1	7.510248255028987	healthy_stool_10_1
820	1	6.615392199297087	healthy_stool_10_1
40518	1	5.08161989503192	healthy_stool_10_1
39491	1	5.073728003859618	healthy_stool_10_1
1680	1	4.772853459700456	healthy_stool_10_1
74426	1	4.363265120557568	healthy_stool_10_1
28117	1	4.112558057521859	healthy_stool_10_1
357276	1	3.3528388106172087	healthy_stool_10_1
165179	1	25	healthy_stool_10_10
853	1	13.676244297577954	healthy_stool_10_10
821	1	11.26537238254348	healthy_stool_10_10
820	1	9.92308829894563	healthy_stool_10_10
40518	1	7.622429842547879	healthy_stool_10_10
39491	1	7.610592005789427	healthy_stool_10_10
1680	1	7.1592801895506835	healthy_stool_10_10
74426	1	6.5448976808363515	healthy_stool_10_10
28117	1	6.168837086282789	healthy_stool_10_10
357276	1	5.029258215925813	healthy_stool_10_10
165179	1	24.057732928555392	healthy_stool_10_50
853	1	18.007335967503266	healthy_stool_10_50
821	1	14.83297174849526	healthy_stool_10_50
820	1	13.06560346146785	healthy_stool_10_50
40518	1	10.036355893978232	healthy_stool_10_50
39491	1	4.68158802002417	healthy_stool_10_50
1680	1	4.403967568081485	healthy_stool_10_50
74426	1	4.02603562923607	healthy_stool_10_50
28117	1	3.794705297387265	healthy_stool_10_50
357276	1	3.0937034852710075	healthy_stool_10_50
165179	1	10	healthy_stool_10_100
853	1	10	healthy_stool_10_100
821	1	10	healthy_stool_10_100
820	1	10	healthy_stool_10_100
40518	1	10	healthy_stool_10_100
39491	1	10	healthy_stool_10_100
1680	1	10	healthy_stool_10_100
74426	1	10	healthy_stool_10_100
28117	1	10	healthy_stool_10_100
357276	1	10	healthy_stool_10_100
165179	1	50	healthy_stool_100_1
853	1	3.9652103808256394	healthy_stool_100_1
821	1	3.2662162610709435	healthy_stool_100_1
820	1	2.877042254926448	healthy_stool_100_1
40518	1	2.2100027815486394	healthy_stool_100_1
39491	1	2.2065705883105116	healthy_stool_100_1
1680	1	2.075719876682315	healthy_stool_100_1
74426	1	1.897589401067514	healthy_stool_100_1
28117	1	1.7885565890690232	healthy_stool_100_1
357276	1	1.458153748333772	healthy_stool_100_1
1150298	1	1.4150421870643637	healthy_stool_100_1
301302	1	1.3713276434967707	healthy_stool_100_1
216816	1	1.1966770500004553	healthy_stool_100_1
239935	1	1.0083105873026075	healthy_stool_100_1
649756	1	0.9117203754326206	healthy_stool_100_1
46506	1	0.9008841640432731	healthy_stool_100_1
562	1	0.8874924761646095	healthy_stool_100_1
88431	1	0.8723951880964435	healthy_stool_100_1
33039	1	0.7469146206029831	healthy_stool_100_1
39485	1	0.7100787999856247	healthy_stool_100_1
310297	1	0.7034671770538912	healthy_stool_100_1
823	1	0.6750114241061871	healthy_stool_100_1
39488	1	0.6705598056589337	healthy_stool_100_1
33043	1	0.5980075082018442	healthy_stool_100_1
410072	1	0.5816612750008766	healthy_stool_100_1
28116	1	0.5767347412104225	healthy_stool_100_1
47678	1	0.5524753636302325	healthy_stool_100_1
